subjectIx,blockIx,trialIx,trial,trial_alt,r,t_d,t_d_alt,RT_trial,RT_diff_trial
0,0,0,NS,NS,RB,NaN,NA,0.8147808022331446,0.015598028665408492
0,0,1,NS,NS,RB,NaN,NA,0.3701334885554388,0
0,0,2,NS,NS,RB,NaN,NA,0.3265812661848031,0.015585594461299479
0,0,3,NS,NS,RB,NaN,NA,0.32220075494842604,0.015584131586365402
0,0,4,NS,NS,RBO,NaN,NA,0.29654232499888167,0.015593640157021582
0,0,5,NS,NS,RB,NaN,NA,0.5728477013180964,0.015520497574470937
0,0,6,NS,NS,RB,NaN,NA,0.6074074046919122,0
0,0,7,NS,NS,RB,NaN,NA,0.40791658707894385,0.015647034160792828
0,0,8,NS,NS,RB,NaN,NA,0.48928646778222173,0
0,0,9,NS,NS,RB,NaN,NA,0.352166187716648,0.01554756029509008
0,0,10,NS,NS,RB,NaN,NA,0.3789084081654437,0.015549388830550015
0,0,11,NS,NS,RB,NaN,NA,0.5070904777385294,0
0,0,12,NS,NS,RB,NaN,NA,0.3721119962865487,0
0,0,13,NS,NS,RB,NaN,NA,0.35206762806046754,0
0,0,14,NS,NS,RB,NaN,NA,0.33984586253063753,0.015526714618317783
0,0,15,NS,NS,RB,NaN,NA,0.48362376645673066,0
0,0,16,NS,NS,RB,NaN,NA,0.44810315198265016,0
0,0,17,NS,NS,RB,NaN,NA,0.4122716812416911,0
0,0,18,NS,NS,RB,NaN,NA,0.30640341265825555,0.015490508987568319
0,0,19,NS,NS,RB,NaN,NA,0.4266944909468293,0.015623628627508879
0,0,20,NS,NS,RB,NaN,NA,0.3464864806737751,0
0,0,21,NS,NS,RBO,NaN,NA,0.4355654102982953,0
0,0,22,NS,NS,RB,NaN,NA,0.5793328915024176,0.015589982969686389
0,0,23,NS,NS,RB,NaN,NA,0.46574350527953357,0.015439309179782867
0,0,24,NS,NS,RB,NaN,NA,0.5314166148891672,0
0,0,25,NS,NS,RB,NaN,NA,0.4957544694188982,0
0,0,26,NS,NS,RB,NaN,NA,0.4366684010019526,0.015585960121825337
0,0,27,NS,NS,RB,NaN,NA,0.416616901231464,0.015594371478073299
0,0,28,NS,NS,RB,NaN,NA,0.5469462550827302,0.01558010873850435
0,0,29,NS,NS,RB,NaN,NA,0.4488780979299918,0.015583765925839543
0,0,30,NS,NS,RB,NaN,NA,0.4365356471389532,0
0,0,31,NS,NS,RB,NaN,NA,0.41658581572119147,0.031128400471061468
0,0,32,NS,NS,RB,NaN,NA,0.466616828169208,0.015590714407153428
0,0,33,NS,NS,RB,NaN,NA,0.43875515984836966,0
0,0,34,NS,NS,RB,NaN,NA,0.434351242845878,0
0,0,35,NS,NS,RB,NaN,NA,0.5546693840296939,0
0,0,36,NS,NS,RB,NaN,NA,0.47443101956741884,0.015636062831617892
0,0,37,NS,NS,RB,NaN,NA,0.40751923981588334,0.015551583142951131
0,0,38,NS,NS,RB,NaN,NA,0.5278487180476077,0.01562838291283697
0,0,39,NS,NS,NOC,NaN,NA,0.8691881202006092,0.031257131369784474
0,0,40,NS,NS,RB,NaN,NA,0.4721359871327877,0.015599125763401389
0,0,41,NS,NS,RB,NaN,NA,0.45204828184796497,0.01555194880347699
0,0,42,NS,NS,RB,NaN,NA,0.5333600142039359,0
0,0,43,NS,NS,RB,NaN,NA,0.6381997148273513,0
0,0,44,NS,NS,RB,NaN,NA,0.5166414405684918,0.0156313085462898
0,0,45,NS,NS,RB,NaN,NA,0.4832225792342797,0
0,0,46,NS,NS,RB,NaN,NA,0.4007352620828897,0
0,0,47,NS,NS,RB,NaN,NA,0.4275222825817764,0
0,0,48,NS,NS,RB,NaN,NA,0.55558256956283,0.015529640251770616
0,0,49,NS,NS,RB,NaN,NA,0.3951299777254462,0.01565544563345611
0,1,50,NS,NS,RB,NaN,NA,0.4351865316275507,0.01559034874662757
0,1,51,NS,NS,RB,NaN,NA,0.4953192707616836,0
0,1,52,NS,NS,RB,NaN,NA,0.48305599682498723,0.015577548649162054
0,1,53,SL,SAS,RB,0.466,long,0.4551797000458464,0
0,1,54,SL,SAS,RR,0.066,short,0.710297123179771,NaN
0,1,55,NS,NS,RB,NaN,NA,0.7682578924577683,0
0,1,56,SR,SAS,RB,0.366,intermediate,0.5219764630892314,0.015612291521392763
0,1,57,SL,SAS,RR,0.166,short,0.9933440544409677,NaN
0,1,58,NS,NS,NOC,NaN,NA,0.7625979339354672,0.20286141231190413
0,1,59,SL,SAS,NR,0.066,short,NaN,NaN
0,1,60,SR,SAS,NR,0.266,short,NaN,NaN
0,1,61,NS,NS,RB,NaN,NA,0.8116243326221593,0.015605342923663557
0,1,62,NS,NS,RR,NaN,NA,0.5909389789449051,NaN
0,1,63,SR,SAS,RB,0.466,long,0.6255456764483824,0.015596200013533235
0,1,64,SL,SAS,RL,0.266,short,0.9252197529422119,NaN
0,1,65,NS,NS,RR,NaN,NA,0.6555740118492395,NaN
0,1,66,NS,NS,RR,NaN,NA,0.6978892097249627,NaN
0,1,67,NS,NS,RB,NaN,NA,0.5218576063634828,0
0,1,68,NS,NS,RB,NaN,NA,0.48616656952071935,0
0,1,69,NS,NS,RB,NaN,NA,0.34916331752901897,0.015562920249067247
0,1,70,SL,SAS,RB,0.466,long,0.3701852369704284,0.015576817211695015
0,1,71,NS,NS,RB,NaN,NA,0.6934150759479962,0.01569347979966551
0,1,72,SR,SAS,RLO,0.066,short,1.0867446155752987,NaN
0,1,73,NS,NS,RBO,NaN,NA,0.6064225393929519,0.01559839432593435
0,1,74,NS,NS,RB,NaN,NA,0.5083936963928863,0.015580474399030209
0,1,75,NS,NS,RB,NaN,NA,0.73009280662518,0
0,1,76,SL,SAS,RB,0.266,short,0.3902526452438906,0.015548291616141796
0,1,77,SL,SAS,RB,0.366,intermediate,0.4637657289276831,0.015606805798597634
0,1,78,NS,NS,RB,NaN,NA,0.6565144431660883,0.01564118277747184
0,1,79,NS,NS,RBO,NaN,NA,0.8548304075375199,0.015591445844620466
0,1,80,NS,NS,RB,NaN,NA,0.8581658935872838,0
0,1,81,SR,SAS,RLO,0.166,short,0.8692978341132402,NaN
0,1,82,NS,NS,NOC,NaN,NA,0.7985293356468901,0.007800477207638323
0,1,83,SR,SAS,RRO,0.066,short,0.9071491381619126,NaN
0,1,84,SR,SAS,RR,0.466,long,0.9027422955259681,NaN
0,1,85,NS,NS,RL,NaN,NA,0.8983533728169277,NaN
0,1,86,NS,NS,RB,NaN,NA,0.3790137335890904,0
0,1,87,SL,SAS,RB,0.166,short,0.4937152531929314,0
0,1,88,NS,NS,RB,NaN,NA,0.7466266950941645,0.015601320075802505
0,1,89,NS,NS,RB,NaN,NA,0.6329983604955487,0.015621434315107763
0,1,90,NS,NS,RB,NaN,NA,0.6441140267415904,0.015625457162968814
0,1,91,SL,SAS,RB,0.366,intermediate,0.5850776954321191,0
0,1,92,SL,SAS,RRO,0.066,short,1.157801570254378,NaN
0,1,93,NS,NS,RB,NaN,NA,0.6697614851873368,0
0,1,94,SR,SAS,RL,0.166,short,0.9460163931362331,NaN
0,1,95,SR,SAS,RL,0.166,short,1.060817752382718,NaN
0,1,96,SR,SAS,RL,0.366,intermediate,0.7287100455723703,NaN
0,1,97,SL,SAS,RR,0.166,short,0.8334286950994283,NaN
0,1,98,SR,SAS,NR,0.266,short,NaN,NaN
0,1,99,NS,NS,RB,NaN,NA,0.8323136359103955,0.015554508776403964
0,1,100,NS,NS,RB,NaN,NA,0.5002600545412861,0.01561302284244448
0,1,101,NS,NS,RB,NaN,NA,0.4100152315804735,0
0,1,102,NS,NS,RB,NaN,NA,0.5225041870726272,0.01557572023011744
0,1,103,NS,NS,RB,NaN,NA,0.5202404230367392,0
0,1,104,NS,NS,RB,NaN,NA,0.4065713114105165,0
0,1,105,NS,NS,RB,NaN,NA,0.7611297788098454,0
0,1,106,NS,NS,RB,NaN,NA,0.3664529520319775,0
0,1,107,NS,NS,RB,NaN,NA,0.42436361860018224,0
0,1,108,NS,NS,RB,NaN,NA,0.536938150995411,0.015587422996759415
0,1,109,NS,NS,RB,NaN,NA,0.5948418689658865,0.0156313085462898
0,1,110,NS,NS,RB,NaN,NA,0.39540279970970005,0
0,1,111,NS,NS,RB,NaN,NA,0.720704403182026,0.04678677173797041
0,1,112,NS,NS,NOC,NaN,NA,0.7630442867812235,0.0468496743706055
0,1,113,NS,NS,RB,NaN,NA,0.6025620720465668,0.015593274380080402
0,1,114,SR,SAS,RR,0.366,intermediate,0.9803319829516113,NaN
0,1,115,SR,SAS,RL,0.166,short,0.6950728532392532,NaN
0,1,116,NS,NS,RB,NaN,NA,0.8231519747059792,0.015598028665408492
0,1,117,SR,SAS,RL,0.066,short,0.8732961752684787,NaN
0,1,118,NS,NS,RB,NaN,NA,0.5334044483024627,0.015549754491075873
0,1,119,NS,NS,NOC,NaN,NA,0.9914509406662546,0
0,1,120,NS,NS,RB,NaN,NA,0.4409216440981254,0.015588885871693492
0,1,121,NS,NS,RB,NaN,NA,0.5066486963769421,0
0,1,122,SL,SAS,RR,0.266,short,0.814161101472564,NaN
0,1,123,NS,NS,RB,NaN,NA,0.583490134915337,0.015587422996759415
0,1,124,SL,SAS,RB,0.266,short,0.5244474034989253,0.03119349735789001
0,1,125,NS,NS,RB,NaN,NA,0.6135458988137543,0
0,1,126,NS,NS,RR,NaN,NA,0.46868950698990375,NaN
0,1,127,SR,SAS,RB,0.466,long,0.45082789729349315,0.015598028665408492
0,1,128,SL,SAS,NOC,0.366,intermediate,0.5087720265146345,0.015595468692481518
0,1,129,NS,NS,RR,NaN,NA,0.8396922630490735,NaN
0,1,130,NS,NS,RB,NaN,NA,0.4686339186737314,0.015596931567415595
0,1,131,SL,SAS,RB,0.466,long,0.46416417334694415,0.015592542942613363
0,1,132,SR,SAS,RL,0.066,short,0.8886989131569862,NaN
0,1,133,SR,SAS,RLO,0.366,intermediate,0.9622119968989864,NaN
0,1,134,NS,NS,RB,NaN,NA,0.9031822484103031,0.01566495408769697
0,1,135,NS,NS,RBO,NaN,NA,0.8853007071884349,0
0,1,136,NS,NS,RB,NaN,NA,0.4752650283044204,0
0,1,137,SR,SAS,RL,0.266,short,0.8762789311585948,NaN
0,1,138,SL,SAS,RRO,0.466,long,1.0279331976780668,NaN
0,1,139,NS,NS,RB,NaN,NA,0.6958364623133093,0
0,1,140,NS,NS,RB,NaN,NA,0.5197997387731448,0
0,1,141,NS,NS,NOC,NaN,NA,0.7493203547201119,0.015569503069855273
